resource,candidate_1,candidate_2,reason_uncertain,recommended_validation
gChristmasGreenTreasureChestFrontTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_17Tex_0072A8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_17Tex_007AA8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_17Tex_0082A8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_18Tex_0018F8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_18Tex_0020F8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_18Tex_0028F8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_18Tex_0030F8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_18Tex_0038F8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_19Tex_001130,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_19Tex_001930,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_19Tex_002130,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_19Tex_002930,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_19Tex_003130,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0059D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0061D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0069D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0071D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0079D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0081D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0089D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0091D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_1Tex_0099D0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_20Tex_003040,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_20Tex_003840,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_20Tex_004040,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_20Tex_004840,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_20Tex_005040,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_20Tex_005840,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_20Tex_006040,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_21Tex_004360,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_21Tex_004B60,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_21Tex_005360,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_21Tex_005B60,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_21Tex_006CA0,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0044E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0048E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0050E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0058E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0060E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0068E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0070E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0078E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0080E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_22Tex_0088E8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_2Tex_002AB8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_2Tex_0032B8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_2Tex_003AB8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_2Tex_0042B8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_2Tex_004AB8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_2Tex_005488,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_3Tex_0037B8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_3Tex_003FB8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_3Tex_0047B8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_3Tex_004FB8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_3Tex_0057B8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_3Tex_005FB8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_4Tex_002820,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_4Tex_003020,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_4Tex_003820,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_4Tex_004020,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_4Tex_004820,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_4Tex_005020,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_4Tex_005820,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_003A48,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_004248,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_004A48,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_005248,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_005A48,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_006248,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_006A48,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_007248,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_007A48,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_008248,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_008A48,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_009248,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_5Tex_009E38,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_005100,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_005300,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_005B00,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_006300,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_006500,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_006700,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_006900,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_006B00,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_007300,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_007B00,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_008300,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_008B00,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_009300,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_009B00,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_00A300,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_6Tex_00AB00,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_7Tex_002560,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_7Tex_002D60,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_7Tex_003560,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_7Tex_003D60,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_7Tex_004560,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_7Tex_004D60,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_005D98,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_005F98,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_006198,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_006998,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_007198,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_007398,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_007598,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_007D98,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_008598,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_008D98,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_009598,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_009D98,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_00A598,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_00AD98,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_00B598,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_00BD98,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_00C598,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_8Tex_00D578,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_0036D8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_003ED8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_0046D8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_004ED8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_0056D8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_005ED8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_0066D8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_006ED8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_room_9Tex_0078A8,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_sceneTex_013C30,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_sceneTex_014430,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
MIZUsin_sceneTex_015030,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
gWaterTempleDayEntranceTex,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
gWaterTempleNightEntranceTex,WATER,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
bdan_room_0Tex_002DB8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_0Tex_0031B8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_0Tex_0039B8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_12Tex_0038E0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_13Tex_0015B8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_13Tex_001DB8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_13Tex_0021B8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_14Tex_0045C8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_14Tex_004DC8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_14Tex_0055C8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_14Tex_0059C8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_1Tex_004E00,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_1Tex_005600,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_2Tex_006E38,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_2Tex_007E38,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_2Tex_008638,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_2Tex_008E38,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_3Tex_004888,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_3Tex_005888,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_3Tex_006088,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_3Tex_006488,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_3Tex_006C88,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_4Tex_002B30,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_4Tex_002F30,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_4Tex_003730,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_5Tex_0024A8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_5Tex_0028A8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_5Tex_0030A8,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_5Tex_004090,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_5Tex_005090,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_6Tex_003068,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_6Tex_003868,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_7Tex_002CD0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_7Tex_0030D0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_room_9Tex_003828,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_sceneTex_013E00,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_sceneTex_014600,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_sceneTex_014A00,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
bdan_sceneTex_015200,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_011498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_011898,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_011C98,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_012498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_012C98,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_013C98,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_014C98,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_015498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_015C98,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_016498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_016898,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_017098,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_017898,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_017C98,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_018498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_018C98,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_019498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_01A498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_0Tex_01B498,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_002B10,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_002F10,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_003710,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_003B10,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_004310,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_004710,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_004F10,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_005310,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_006310,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_007310,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_10Tex_007B10,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
ddan_room_11Tex_000C30,STONE,UNKNOWN,LOW confidence scene/keyword prior only,in-engine draw capture + surface mapping; visual texture inspection
